Links to profile,Links to publication,Name Account/Influencer,Professional Activity,Account description,Number of posts,Number of followers,Number of followings,Verified Status
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B4xs3yugZEr/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B55gk8DAL3Z/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B58x9BUATxb/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B5AdSLQAK3V/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B5FLn3rAKZr/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B5GZbwpAAZi/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B5IwVRyg0Am/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B5LLSXVAYu0/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B5LjifJAlq3/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B5N5ygHAh7H/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B5S8SNQgvM-/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B5SFl7YK0Px/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B5Xkbb_A3Z9/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B5az6Qfg3va/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B5dRx0zgeSb/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B5iI4Sag0qQ/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B5lpnXXgbiT/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
